Date,1 oz_Selling,1 oz_Buying,1/2 oz_Selling,1/2 oz_Buying,1/4 oz_Selling,1/4 oz_Buying
05.11.18,5456,5244,2779,2622,1415,1311
07.11.18,5435,5224,2769,2612,1410,1306
08.11.18,5418,5206,2760,2603,1406,1302
09.11.18,5413,5202,2757,2601,1404,1301
12.11.18,5371,5164,2736,2582,1393,1291
13.11.18,5347,5139,2724,2569,1387,1285
14.11.18,5344,5136,2722,2568,1386,1284
15.11.18,5385,5176,2744,2588,1397,1294
16.11.18,5395,5185,2748,2592,1400,1296
19.11.18,5425,5216,2764,2608,1407,1304
21.11.18,5432,5222,2767,2611,1409,1306
22.11.18,5455,5243,2779,2621,1415,1311
23.11.18,5463,5252,2783,2626,1417,1313
26.11.18,5450,5238,2777,2619,1414,1310
27.11.18,5435,5224,2769,2612,1410,1306
28.11.18,5401,5192,2751,2596,1401,1298
29.11.18,5432,5222,2767,2611,1409,1305
30.11.18,5437,5227,2770,2613,1411,1307
03.12.18,5418,5204,2760,2602,1406,1301
04.12.18,5441,5229,2772,2615,1412,1307
05.12.18,5455,5242,2779,2621,1415,1311
06.12.18,5459,5247,2781,2623,1416,1312
07.12.18,5471,5258,2787,2629,1419,1314
10.12.18,5519,5304,2812,2652,1432,1326
11.12.18,5515,5300,2809,2650,1431,1325
12.12.18,5519,5305,2812,2652,1432,1326
13.12.18,5527,5313,2816,2657,1434,1328
14.12.18,5506,5294,2805,2647,1429,1323
17.12.18,5499,5285,2801,2643,1427,1321
18.12.18,5524,5311,2814,2655,1433,1328
19.12.18,5542,5326,2823,2663,1438,1332
20.12.18,5524,5310,2814,2655,1433,1328
21.12.18,5592,5375,2849,2687,1451,1344
24.12.18,5598,5376,2852,2688,1452,1344
26.12.18,5624,5401,2865,2701,1459,1350
27.12.18,5625,5407,2865,2704,1459,1352
28.12.18,5632,5409,2869,2704,1461,1352
31.12.18,5627,5411,2867,2705,1460,1353
02.01.19,5620,5401,2863,2701,1458,1350
03.01.19,5656,5438,2881,2719,1467,1359
04.01.19,5687,5467,2897,2734,1475,1367
07.01.19,5615,5396,2860,2698,1457,1349
08.01.19,5616,5401,2861,2700,1457,1350
09.01.19,5606,5389,2856,2694,1454,1347
10.01.19,5625,5406,2865,2703,1459,1351
11.01.19,5597,5379,2851,2689,1452,1345
14.01.19,5600,5382,2853,2691,1453,1345
15.01.19,5613,5397,2859,2699,1456,1349
16.01.19,5620,5398,2863,2699,1458,1349
17.01.19,5640,5420,2873,2710,1463,1355
18.01.19,5628,5409,2867,2705,1460,1352
22.01.19,5592,5375,2849,2687,1451,1344
23.01.19,5630,5411,2868,2706,1461,1353
24.01.19,5629,5410,2868,2705,1460,1352
25.01.19,5629,5410,2868,2705,1460,1352
28.01.19,5670,5450,2889,2725,1471,1362
29.01.19,5684,5463,2896,2731,1475,1366
30.01.19,5716,5495,2912,2747,1483,1374
31.01.19,5728,5508,2918,2754,1486,1377
04.02.19,5732,5509,2920,2755,1487,1377
07.02.19,5687,5465,2897,2733,1475,1366
08.02.19,5668,5447,2887,2724,1470,1362
11.02.19,5669,5448,2888,2724,1471,1362
12.02.19,5657,5437,2882,2718,1468,1359
13.02.19,5661,5438,2884,2719,1469,1360
14.02.19,5647,5428,2877,2714,1465,1357
15.02.19,5673,5452,2890,2726,1472,1363
18.02.19,5715,5486,2911,2743,1483,1371
19.02.19,5745,5520,2927,2760,1490,1380
20.02.19,5782,5559,2946,2779,1500,1390
21.02.19,5785,5559,2947,2780,1501,1390
22.02.19,5735,5512,2922,2756,1488,1378
25.02.19,5730,5507,2919,2753,1486,1377
26.02.19,5728,5505,2918,2753,1486,1376
27.02.19,5735,5510,2922,2755,1488,1378
28.02.19,5699,5480,2903,2740,1479,1370
01.03.19,5677,5456,2892,2728,1473,1364
04.03.19,5592,5371,2849,2686,1451,1343
05.03.19,5561,5344,2833,2672,1443,1336
06.03.19,5579,5363,2842,2681,1447,1341
07.03.19,5589,5370,2847,2685,1450,1343
08.03.19,5589,5371,2847,2686,1450,1343
11.03.19,5625,5407,2865,2704,1459,1352
12.03.19,5600,5383,2853,2691,1453,1346
13.03.19,5639,5419,2873,2710,1463,1355
14.03.19,5671,5453,2889,2727,1471,1363
15.03.19,5622,5403,2864,2701,1458,1351
18.03.19,5645,5419,2876,2709,1464,1355
19.03.19,5643,5423,2875,2712,1464,1356
20.03.19,5650,5431,2879,2715,1466,1358
21.03.19,5657,5437,2882,2719,1468,1359
22.03.19,5643,5417,2875,2708,1464,1354
25.03.19,5666,5439,2887,2720,1470,1360
26.03.19,5699,5480,2903,2740,1478,1370
27.03.19,5695,5473,2901,2737,1477,1368
28.03.19,5669,5441,2888,2721,1471,1360
29.03.19,5587,5371,2846,2686,1450,1343
01.04.19,5588,5371,2847,2685,1450,1343
02.04.19,5581,5364,2843,2682,1448,1341
03.04.19,5594,5376,2850,2688,1451,1344
04.04.19,5593,5376,2849,2688,1451,1344
05.04.19,5595,5377,2850,2688,1451,1344
08.04.19,5604,5380,2855,2690,1454,1345
09.04.19,5638,5419,2872,2709,1463,1355
10.04.19,5669,5448,2888,2724,1471,1362
11.04.19,5697,5475,2902,2738,1478,1369
12.04.19,5653,5433,2880,2717,1467,1358
15.04.19,5630,5401,2868,2701,1461,1350
16.04.19,5611,5396,2859,2698,1456,1349
17.04.19,5592,5375,2849,2687,1451,1344
18.04.19,5593,5372,2849,2686,1451,1343
19.04.19,5609,5391,2858,2696,1455,1348
22.04.19,5599,5384,2852,2692,1453,1346
23.04.19,5586,5370,2846,2685,1449,1343
24.04.19,5572,5356,2839,2678,1446,1339
25.04.19,5587,5372,2846,2686,1449,1343
26.04.19,5608,5392,2857,2696,1455,1348
29.04.19,5634,5415,2870,2708,1462,1354
30.04.19,5614,5396,2860,2698,1457,1349
02.05.19,5599,5384,2852,2692,1453,1346
03.05.19,5599,5384,2852,2692,1453,1346
06.05.19,5645,5428,2876,2714,1464,1357
07.05.19,5645,5428,2876,2714,1465,1357
08.05.19,5654,5437,2880,2718,1467,1359
09.05.19,5638,5421,2872,2711,1463,1355
10.05.19,5638,5421,2872,2711,1463,1355
13.05.19,5680,5462,2894,2731,1474,1365
14.05.19,5762,5540,2935,2770,1495,1385
15.05.19,5742,5521,2925,2761,1490,1380
16.05.19,5737,5516,2923,2758,1488,1379
17.05.19,5689,5470,2898,2735,1476,1368
21.05.19,5653,5429,2880,2715,1467,1357
23.05.19,5663,5443,2885,2722,1469,1361
24.05.19,5707,5485,2907,2743,1481,1371
27.05.19,5702,5480,2905,2740,1479,1370
28.05.19,5712,5492,2910,2746,1482,1373
29.05.19,5697,5476,2902,2738,1478,1369
30.05.19,5691,5470,2899,2735,1477,1367
31.05.19,5744,5521,2926,2760,1490,1380
03.06.19,5823,5597,2967,2798,1511,1399
04.06.19,5874,5645,2992,2823,1524,1411
07.06.19,5897,5667,3004,2834,1530,1417
10.06.19,5888,5659,2999,2829,1528,1415
11.06.19,5866,5638,2988,2819,1522,1410
12.06.19,5860,5632,2985,2816,1520,1408
13.06.19,5892,5663,3002,2832,1529,1416
14.06.19,5941,5710,3027,2855,1541,1428
17.06.19,5926,5695,3019,2848,1537,1424
18.06.19,5933,5703,3022,2852,1539,1426
19.06.19,5959,5728,3036,2864,1546,1432
20.06.19,6009,5775,3061,2888,1559,1444
21.06.19,6131,5893,3123,2946,1591,1473
24.06.19,6189,5951,3153,2976,1606,1488
25.06.19,6263,6021,3190,3010,1625,1505
26.06.19,6244,6004,3181,3002,1620,1501
27.06.19,6213,5971,3165,2986,1612,1493
28.06.19,6216,5977,3167,2988,1613,1494
01.07.19,6092,5856,3103,2928,1580,1464
02.07.19,6082,5847,3099,2924,1578,1462
03.07.19,6269,6025,3193,3012,1626,1506
04.07.19,6236,5994,3177,2997,1618,1498
05.07.19,6220,5978,3169,2989,1614,1495
08.07.19,6142,5899,3129,2949,1593,1475
09.07.19,6126,5888,3121,2944,1589,1472
10.07.19,6125,5887,3120,2944,1589,1472
11.07.19,6241,6001,3180,3001,1619,1500
12.07.19,6139,5901,3127,2951,1593,1475
15.07.19,6180,5940,3148,2970,1603,1485
16.07.19,6173,5936,3145,2968,1602,1484
17.07.19,6127,5889,3121,2944,1590,1472
18.07.19,6217,5978,3167,2989,1613,1494
19.07.19,6284,6043,3201,3021,1630,1511
22.07.19,6224,5982,3171,2991,1615,1496
23.07.19,6212,5970,3164,2985,1612,1492
24.07.19,6197,5955,3157,2978,1608,1489
25.07.19,6222,5982,3170,2991,1614,1496
26.07.19,6188,5947,3152,2974,1605,1487
29.07.19,6200,5961,3158,2981,1608,1490
31.07.19,6260,6018,3189,3009,1624,1504
01.08.19,6188,5950,3152,2975,1605,1488
02.08.19,6337,6094,3228,3047,1644,1523
05.08.19,6360,6112,3240,3056,1650,1528
06.08.19,6544,6290,3334,3145,1698,1572
07.08.19,6572,6314,3348,3157,1705,1578
08.08.19,6685,6425,3405,3212,1734,1606
09.08.19,6675,6415,3400,3208,1732,1604
13.08.19,6727,6465,3427,3233,1745,1616
14.08.19,6669,6410,3397,3205,1730,1602
15.08.19,6753,6491,3440,3245,1752,1623
16.08.19,6786,6522,3457,3261,1760,1630
19.08.19,6688,6425,3407,3213,1735,1606
20.08.19,6636,6381,3381,3191,1722,1595
21.08.19,6681,6421,3404,3211,1733,1605
22.08.19,6659,6401,3393,3200,1728,1600
23.08.19,6650,6393,3388,3196,1725,1598
26.08.19,6897,6632,3514,3316,1789,1658
27.08.19,6819,6554,3474,3277,1769,1638
28.08.19,6885,6618,3508,3309,1786,1654
29.08.19,6879,6611,3504,3306,1785,1653
30.08.19,6816,6554,3472,3277,1768,1639
03.09.19,6829,6563,3479,3282,1772,1641
04.09.19,6925,6654,3528,3327,1796,1663
05.09.19,6889,6620,3510,3310,1787,1655
06.09.19,6753,6490,3440,3245,1752,1623
10.09.19,6611,6354,3368,3177,1715,1588
11.09.19,6587,6331,3356,3165,1709,1583
12.09.19,6609,6354,3367,3177,1715,1588
13.09.19,6623,6366,3374,3183,1718,1591
17.09.19,6633,6367,3379,3184,1721,1592
18.09.19,6654,6395,3390,3198,1726,1599
19.09.19,6628,6374,3377,3187,1720,1593
20.09.19,6668,6409,3397,3204,1730,1602
23.09.19,6704,6444,3415,3222,1739,1611
24.09.19,6737,6476,3432,3238,1748,1619
25.09.19,6801,6537,3465,3268,1764,1634
26.09.19,6712,6451,3419,3226,1741,1613
27.09.19,6692,6432,3409,3216,1736,1608
30.09.19,6650,6393,3388,3196,1725,1598
01.10.19,6549,6295,3336,3148,1699,1574
02.10.19,6577,6322,3351,3161,1706,1580
03.10.19,6662,6403,3394,3201,1728,1601
04.10.19,6689,6429,3408,3214,1735,1607
07.10.19,6696,6436,3411,3218,1737,1609
08.10.19,6631,6373,3378,3187,1720,1593
09.10.19,6713,6453,3420,3227,1742,1613
10.10.19,6720,6462,3423,3231,1743,1615
11.10.19,6635,6377,3380,3189,1721,1594
14.10.19,6584,6328,3354,3164,1708,1582
15.10.19,6622,6364,3373,3182,1718,1591
16.10.19,6590,6336,3357,3168,1710,1584
17.10.19,6620,6366,3373,3183,1718,1591
18.10.19,6614,6360,3369,3180,1716,1590
21.10.19,6618,6361,3371,3180,1717,1590
22.10.19,6579,6327,3352,3163,1707,1582
23.10.19,6623,6368,3374,3184,1718,1592
24.10.19,6627,6372,3376,3186,1719,1593
25.10.19,6675,6418,3400,3209,1732,1605
29.10.19,6622,6364,3373,3182,1718,1591
30.10.19,6602,6348,3363,3174,1713,1587
31.10.19,6622,6366,3374,3183,1718,1592
01.11.19,6703,6444,3415,3222,1739,1611
04.11.19,6675,6418,3400,3209,1732,1605
05.11.19,6630,6374,3378,3187,1720,1593
06.11.19,6508,6256,3315,3128,1688,1564
07.11.19,6556,6301,3340,3151,1701,1575
08.11.19,6415,6165,3268,3083,1664,1541
11.11.19,6412,6162,3266,3081,1663,1541
12.11.19,6402,6153,3261,3076,1661,1538
13.11.19,6416,6167,3269,3083,1665,1542
14.11.19,6451,6199,3286,3099,1674,1550
15.11.19,6471,6222,3296,3111,1679,1556
18.11.19,6469,6218,3296,3109,1678,1554
19.11.19,6506,6254,3314,3127,1688,1564
20.11.19,6498,6249,3311,3124,1686,1562
21.11.19,6525,6272,3324,3136,1693,1568
22.11.19,6476,6223,3299,3111,1680,1556
25.11.19,6469,6217,3295,3109,1678,1554
26.11.19,6444,6192,3283,3096,1672,1548
27.11.19,6472,6222,3297,3111,1679,1555
28.11.19,6448,6197,3285,3099,1673,1549
29.11.19,6444,6194,3283,3097,1672,1548
02.12.19,6470,6219,3296,3109,1679,1555
03.12.19,6473,6221,3297,3110,1679,1555
04.12.19,6552,6297,3338,3149,1700,1574
05.12.19,6531,6277,3327,3139,1694,1569
